Community,state_id,lag_months,correlation,n_start_points
12,5,27,0.0,1
12,5,28,0.0,1
12,5,29,0.0,1
12,5,30,0.0,1
12,5,31,0.0,1
12,5,32,0.0,1
12,5,33,0.0,1
12,5,34,0.0,1
12,5,35,0.0,1
12,5,36,0.0,1
12,6,1,0.0,4
12,6,2,0.0,4
12,6,3,0.0,4
12,6,4,0.0,4
12,6,5,0.0,4
12,6,6,0.0,4
12,6,7,0.0,4
12,6,8,0.0,4
12,6,9,0.3333333333333333,4
12,6,10,0.0,4
12,6,11,0.0,4
12,6,12,0.0,4
12,6,13,0.0,4
12,6,14,0.16666666666666666,4
12,6,15,0.0,4
12,6,16,0.0,4
12,6,17,0.0,4
12,6,18,0.0,4
12,6,19,0.0,4
12,6,20,0.0,3
12,6,21,0.0,3
12,6,22,0.0,3
12,6,23,0.2,3
12,6,24,0.0,3
12,6,25,0.0,3
12,6,26,0.0,3
12,6,27,0.0,3
12,6,28,0.2,3
12,6,29,0.0,3
12,6,30,0.0,3
12,6,31,0.0,3
12,6,32,0.0,3
12,6,33,0.0,3
12,6,34,0.0,2
12,6,35,0.0,2
12,6,36,0.0,2
12,7,1,0.0,1
12,7,2,0.0,1
12,7,3,0.0,1
12,7,4,0.0,1
12,7,5,0.0,1
12,7,6,0.0,1
12,7,7,0.0,1
12,7,8,0.0,1
12,7,9,0.0,1
12,7,10,0.0,1
12,7,11,0.0,1
12,7,12,0.0,1
12,7,13,0.0,1
12,7,14,0.0,1
12,7,15,0.0,1
12,7,16,0.0,1
12,7,17,0.0,1
12,7,18,0.0,1
12,7,19,0.0,1
12,7,20,0.0,1
12,7,21,0.0,1
12,7,22,0.0,1
12,7,23,0.0,1
12,7,24,0.0,1
12,7,25,0.0,1
12,7,26,0.0,1
12,7,27,0.0,1
12,7,28,0.0,1
12,7,29,0.0,1
12,7,30,0.0,1
12,7,31,0.0,1
12,7,32,0.0,1
12,7,33,0.0,1
12,7,34,0.0,1
12,7,35,0.0,1
12,7,36,0.0,1
12,12,1,0.08333333333333333,13
12,12,2,0.125,13
12,12,3,0.20833333333333334,13
12,12,4,0.20833333333333334,13
12,12,5,0.0,13
12,12,6,0.125,13
12,12,7,0.3333333333333333,13
12,12,8,0.041666666666666664,13
12,12,9,0.0,12
12,12,10,0.13636363636363635,12
12,12,11,0.2727272727272727,12
12,12,12,0.0,11
12,12,13,0.2631578947368421,10
12,12,14,0.10526315789473684,10
12,12,15,0.23529411764705882,9
12,12,16,0.0,9
12,12,17,0.11764705882352941,9
12,12,18,0.11764705882352941,9
12,12,19,0.0,8
12,12,20,0.26666666666666666,8
12,12,21,0.06666666666666667,8
12,12,22,0.26666666666666666,8
12,12,23,0.06666666666666667,8
12,12,24,0.26666666666666666,8
12,12,25,0.0,8
12,12,26,0.38461538461538464,7
12,12,27,0.15384615384615385,7
